x,y
2.617383,-0.171687
2.675549,-0.145587
2.669845,-0.148147
2.741959,-0.115788
2.675549,-0.145587
-2.546157,-1.950199
-2.795605,-2.062131
-2.410551,-1.889350
-2.546157,-1.950199
-2.179189,-1.785534
-2.410551,-1.889350
-2.110175,-1.754566
-2.179189,-1.785534
-2.106508,-1.752920
-2.110175,-1.754566
-2.076775,-1.739579
-2.106508,-1.752920
-2.061680,-1.732805
-2.076775,-1.739579
-1.638971,-1.543128
-2.061680,-1.732805
-1.623876,-1.536355
-1.638971,-1.543128
-1.594143,-1.523013
-1.623876,-1.536355
-1.590476,-1.521367
-1.594143,-1.523013
-1.541799,-1.499525
-1.590476,-1.521367
-1.495559,-1.478776
-1.541799,-1.499525
-1.492110,-1.477229
-1.495559,-1.478776
-1.464377,-1.464785
-1.492110,-1.477229
-1.450488,-1.458552
-1.464377,-1.464785
-0.988551,-1.251273
-1.450488,-1.458552
-0.974662,-1.245041
-0.988551,-1.251273
-0.946930,-1.232597
-0.974662,-1.245041
-0.943480,-1.231049
-0.946930,-1.232597
-0.904409,-1.213517
-0.943480,-1.231049
-0.865421,-1.196022
-0.904409,-1.213517
-0.861980,-1.194478
-0.865421,-1.196022
-0.834324,-1.182068
-0.861980,-1.194478
-0.820480,-1.175857
-0.834324,-1.182068
-0.356947,-0.967861
-0.820480,-1.175857
-0.343104,-0.961649
-0.356947,-0.967861
-0.315447,-0.949239
-0.343104,-0.961649
-0.312007,-0.947695
-0.315447,-0.949239
-0.267019,-0.927509
-0.312007,-0.947695
-0.219880,-0.906357
-0.267019,-0.927509
-0.216243,-0.904725
-0.219880,-0.906357
-0.186790,-0.891508
-0.216243,-0.904725
-0.171867,-0.884812
-0.186790,-0.891508
0.256051,-0.692798
-0.171867,-0.884812
0.270974,-0.686101
0.256051,-0.692798
0.300427,-0.672885
0.270974,-0.686101
0.304064,-0.671253
0.300427,-0.672885
0.370370,-0.641500
0.304064,-0.671253
0.444019,-0.608453
0.370370,-0.641500
0.448191,-0.606581
0.444019,-0.608453
0.482785,-0.591058
0.448191,-0.606581
0.501042,-0.582866
0.482785,-0.591058
0.844753,-0.428636
0.501042,-0.582866
0.863011,-0.420444
0.844753,-0.428636
0.897604,-0.404921
0.863011,-0.420444
0.901776,-0.403049
0.897604,-0.404921
0.995305,-0.361081
0.901776,-0.403049
1.025571,-0.347500
0.995305,-0.361081
1.136866,-0.297560
1.025571,-0.347500
1.142637,-0.294971
1.136866,-0.297560
1.196036,-0.271010
1.142637,-0.294971
1.233109,-0.254374
1.196036,-0.271010
1.374298,-0.191020
1.233109,-0.254374
1.411371,-0.174385
1.374298,-0.191020
1.464770,-0.150424
1.411371,-0.174385
1.470541,-0.147834
1.464770,-0.150424
1.536864,-0.118074
1.470541,-0.147834
1.800000,0.000000
1.536864,-0.118074
2.078422,0.124933
1.800000,0.000000
2.144688,0.154668
2.078422,0.124933
2.150675,0.157354
2.144688,0.154668
2.207285,0.182756
2.150675,0.157354
2.250213,0.202018
2.207285,0.182756
2.361236,0.251837
2.250213,0.202018
2.404163,0.271099
2.361236,0.251837
2.460774,0.296501
2.404163,0.271099
2.466760,0.299187
2.460774,0.296501
2.574429,0.347500
2.466760,0.299187
2.619981,0.367940
2.574429,0.347500
-2.698877,-1.480265
-2.744798,-1.500871
-2.695430,-1.478719
-2.698877,-1.480265
-2.667718,-1.466284
-2.695430,-1.478719
-2.653841,-1.460057
-2.667718,-1.466284
-2.191484,-1.252589
-2.653841,-1.460057
-2.177607,-1.246362
-2.191484,-1.252589
-2.149894,-1.233927
-2.177607,-1.246362
-2.146447,-1.232380
-2.149894,-1.233927
-2.107408,-1.214863
-2.146447,-1.232380
-2.068410,-1.197364
-2.107408,-1.214863
-2.064968,-1.195819
-2.068410,-1.197364
-2.037294,-1.183401
-2.064968,-1.195819
-2.023440,-1.177185
-2.037294,-1.183401
-1.560273,-0.969353
-2.023440,-1.177185
-1.546419,-0.963137
-1.560273,-0.969353
-1.518745,-0.950719
-1.546419,-0.963137
-1.515303,-0.949174
-1.518745,-0.950719
-1.470018,-0.928854
-1.515303,-0.949174
-1.422514,-0.907538
-1.470018,-0.928854
-1.418869,-0.905903
-1.422514,-0.907538
-1.389350,-0.892657
-1.418869,-0.905903
-1.374385,-0.885942
-1.389350,-0.892657
-0.947716,-0.694488
-1.374385,-0.885942
-0.932752,-0.687773
-0.947716,-0.694488
-0.903232,-0.674527
-0.932752,-0.687773
-0.899588,-0.672892
-0.903232,-0.674527
-0.832628,-0.642846
-0.899588,-0.672892
-0.758142,-0.609423
-0.832628,-0.642846
-0.753952,-0.607542
-0.758142,-0.609423
-0.719175,-0.591938
-0.753952,-0.607542
-0.700791,-0.583688
-0.719175,-0.591938
-0.359699,-0.430634
-0.700791,-0.583688
-0.341315,-0.422385
-0.359699,-0.430634
-0.306538,-0.406780
-0.341315,-0.422385
-0.302348,-0.404900
-0.306538,-0.406780
-0.209790,-0.363367
-0.302348,-0.404900
-0.174429,-0.347500
-0.209790,-0.363367
-0.064378,-0.298118
-0.174429,-0.347500
-0.058538,-0.295498
-0.064378,-0.298118
-0.004140,-0.271088
-0.058538,-0.295498
0.034579,-0.253714
-0.004140,-0.271088
0.166543,-0.194500
0.034579,-0.253714
0.205262,-0.177126
0.166543,-0.194500
0.259660,-0.152717
0.205262,-0.177126
0.265499,-0.150096
0.259660,-0.152717
0.331768,-0.120360
0.265499,-0.150096
0.600000,0.000000
0.331768,-0.120360
0.873327,0.122647
0.600000,0.000000
0.939576,0.152374
0.873327,0.122647
0.945488,0.155027
0.939576,0.152374
1.000954,0.179915
0.945488,0.155027
1.041594,0.198151
1.000954,0.179915
1.163570,0.252884
1.041594,0.198151
1.204210,0.271120
1.163570,0.252884
1.259675,0.296008
1.204210,0.271120
1.265587,0.298661
1.259675,0.296008
1.374429,0.347500
1.265587,0.298661
1.414886,0.365654
1.374429,0.347500
1.506485,0.406756
1.414886,0.365654
1.510694,0.408645
1.506485,0.406756
1.545658,0.424334
1.510694,0.408645
1.564172,0.432642
1.545658,0.424334
1.902602,0.584501
1.564172,0.432642
1.921117,0.592809
1.902602,0.584501
1.956081,0.608498
1.921117,0.592809
1.960290,0.610387
1.956081,0.608498
2.035627,0.644191
1.960290,0.610387
2.103248,0.674534
2.035627,0.644191
2.106900,0.676173
2.103248,0.674534
2.136487,0.689449
2.106900,0.676173
2.151493,0.696183
2.136487,0.689449
2.576893,0.887067
2.151493,0.696183
2.591899,0.893801
2.576893,0.887067
2.621487,0.907077
2.591899,0.893801
2.625138,0.908716
2.621487,0.907077
2.673016,0.930200
2.625138,0.908716
-2.625138,-0.908716
-2.673016,-0.930200
-2.621487,-0.907077
-2.625138,-0.908716
-2.591899,-0.893801
-2.621487,-0.907077
-2.576893,-0.887067
-2.591899,-0.893801
-2.151493,-0.696183
-2.576893,-0.887067
-2.136487,-0.689449
-2.151493,-0.696183
-2.106900,-0.676173
-2.136487,-0.689449
-2.103248,-0.674534
-2.106900,-0.676173
-2.035627,-0.644191
-2.103248,-0.674534
-1.960290,-0.610387
-2.035627,-0.644191
-1.956081,-0.608498
-1.960290,-0.610387
-1.921117,-0.592809
-1.956081,-0.608498
-1.902602,-0.584501
-1.921117,-0.592809
-1.564172,-0.432642
-1.902602,-0.584501
-1.545658,-0.424334
-1.564172,-0.432642
-1.510694,-0.408645
-1.545658,-0.424334
-1.506485,-0.406756
-1.510694,-0.408645
-1.414886,-0.365654
-1.506485,-0.406756
-1.374429,-0.347500
-1.414886,-0.365654
-1.265587,-0.298661
-1.374429,-0.347500
-1.259675,-0.296008
-1.265587,-0.298661
-1.204210,-0.271120
-1.259675,-0.296008
-1.163570,-0.252884
-1.204210,-0.271120
-1.041594,-0.198151
-1.163570,-0.252884
-1.000954,-0.179915
-1.041594,-0.198151
-0.945488,-0.155027
-1.000954,-0.179915
-0.939576,-0.152374
-0.945488,-0.155027
-0.873327,-0.122647
-0.939576,-0.152374
-0.600000,0.000000
-0.873327,-0.122647
-0.331768,0.120360
-0.600000,0.000000
-0.265499,0.150096
-0.331768,0.120360
-0.259660,0.152717
-0.265499,0.150096
-0.205262,0.177126
-0.259660,0.152717
-0.166543,0.194500
-0.205262,0.177126
-0.034579,0.253714
-0.166543,0.194500
0.004140,0.271088
-0.034579,0.253714
0.058538,0.295498
0.004140,0.271088
0.064378,0.298118
0.058538,0.295498
0.174429,0.347500
0.064378,0.298118
0.209790,0.363367
0.174429,0.347500
0.302348,0.404900
0.209790,0.363367
0.306538,0.406780
0.302348,0.404900
0.341315,0.422385
0.306538,0.406780
0.359699,0.430634
0.341315,0.422385
0.700791,0.583688
0.359699,0.430634
0.719175,0.591938
0.700791,0.583688
0.753952,0.607542
0.719175,0.591938
0.758142,0.609423
0.753952,0.607542
0.832628,0.642846
0.758142,0.609423
0.899588,0.672892
0.832628,0.642846
0.903232,0.674527
0.899588,0.672892
0.932752,0.687773
0.903232,0.674527
0.947716,0.694488
0.932752,0.687773
1.374385,0.885942
0.947716,0.694488
1.389350,0.892657
1.374385,0.885942
1.418869,0.905903
1.389350,0.892657
1.422514,0.907538
1.418869,0.905903
1.470018,0.928854
1.422514,0.907538
1.515303,0.949174
1.470018,0.928854
1.518745,0.950719
1.515303,0.949174
1.546419,0.963137
1.518745,0.950719
1.560273,0.969353
1.546419,0.963137
2.023440,1.177185
1.560273,0.969353
2.037294,1.183401
2.023440,1.177185
2.064968,1.195819
2.037294,1.183401
2.068410,1.197364
2.064968,1.195819
2.107408,1.214863
2.068410,1.197364
2.146447,1.232380
2.107408,1.214863
2.149894,1.233927
2.146447,1.232380
2.177607,1.246362
2.149894,1.233927
2.191484,1.252589
2.177607,1.246362
2.653841,1.460057
2.191484,1.252589
2.667718,1.466284
2.653841,1.460057
2.695430,1.478719
2.667718,1.466284
2.698877,1.480265
2.695430,1.478719
2.744798,1.500871
2.698877,1.480265
-2.574429,-0.347500
-2.619981,-0.367940
-2.466760,-0.299187
-2.574429,-0.347500
-2.460774,-0.296501
-2.466760,-0.299187
-2.404163,-0.271099
-2.460774,-0.296501
-2.361236,-0.251837
-2.404163,-0.271099
-2.250213,-0.202018
-2.361236,-0.251837
-2.207285,-0.182756
-2.250213,-0.202018
-2.150675,-0.157354
-2.207285,-0.182756
-2.144688,-0.154668
-2.150675,-0.157354
-2.078422,-0.124933
-2.144688,-0.154668
-1.800000,0.000000
-2.078422,-0.124933
-1.536864,0.118074
-1.800000,0.000000
-1.470541,0.147834
-1.536864,0.118074
-1.464770,0.150424
-1.470541,0.147834
-1.411371,0.174385
-1.464770,0.150424
-1.374298,0.191020
-1.411371,0.174385
-1.233109,0.254374
-1.374298,0.191020
-1.196036,0.271010
-1.233109,0.254374
-1.142637,0.294971
-1.196036,0.271010
-1.136866,0.297560
-1.142637,0.294971
-1.025571,0.347500
-1.136866,0.297560
-0.995305,0.361081
-1.025571,0.347500
-0.901776,0.403049
-0.995305,0.361081
-0.897604,0.404921
-0.901776,0.403049
-0.863011,0.420444
-0.897604,0.404921
-0.844753,0.428636
-0.863011,0.420444
-0.501042,0.582866
-0.844753,0.428636
-0.482785,0.591058
-0.501042,0.582866
-0.448191,0.606581
-0.482785,0.591058
-0.444019,0.608453
-0.448191,0.606581
-0.370370,0.641500
-0.444019,0.608453
-0.304064,0.671253
-0.370370,0.641500
-0.300427,0.672885
-0.304064,0.671253
-0.270974,0.686101
-0.300427,0.672885
-0.256051,0.692798
-0.270974,0.686101
0.171867,0.884812
-0.256051,0.692798
0.186790,0.891508
0.171867,0.884812
0.216243,0.904725
0.186790,0.891508
0.219880,0.906357
0.216243,0.904725
0.267019,0.927509
0.219880,0.906357
0.312007,0.947695
0.267019,0.927509
0.315447,0.949239
0.312007,0.947695
0.343104,0.961649
0.315447,0.949239
0.356947,0.967861
0.343104,0.961649
0.820480,1.175857
0.356947,0.967861
0.834324,1.182068
0.820480,1.175857
0.861980,1.194478
0.834324,1.182068
0.865421,1.196022
0.861980,1.194478
0.904409,1.213517
0.865421,1.196022
0.943480,1.231049
0.904409,1.213517
0.946930,1.232597
0.943480,1.231049
0.974662,1.245041
0.946930,1.232597
0.988551,1.251273
0.974662,1.245041
1.450488,1.458552
0.988551,1.251273
1.464377,1.464785
1.450488,1.458552
1.492110,1.477229
1.464377,1.464785
1.495559,1.478776
1.492110,1.477229
1.541799,1.499525
1.495559,1.478776
1.590476,1.521367
1.541799,1.499525
1.594143,1.523013
1.590476,1.521367
1.623876,1.536355
1.594143,1.523013
1.638971,1.543128
1.623876,1.536355
2.061680,1.732805
1.638971,1.543128
2.076775,1.739579
2.061680,1.732805
2.106508,1.752920
2.076775,1.739579
2.110175,1.754566
2.106508,1.752920
2.179189,1.785534
2.110175,1.754566
2.410551,1.889350
2.179189,1.785534
2.546157,1.950199
2.410551,1.889350
2.795605,2.062131
2.546157,1.950199
-2.675549,0.145587
-2.741959,0.115788
-2.669845,0.148147
-2.675549,0.145587
-2.617383,0.171687
-2.669845,0.148147
-2.581744,0.187679
-2.617383,0.171687
-2.431948,0.254895
-2.581744,0.187679
-2.396309,0.270887
-2.431948,0.254895
-2.343848,0.294427
-2.396309,0.270887
-2.338143,0.296987
-2.343848,0.294427
-2.225571,0.347500
-2.338143,0.296987
-2.200400,0.358795
-2.225571,0.347500
-2.105887,0.401204
-2.200400,0.358795
-2.101733,0.403068
-2.105887,0.401204
-2.067318,0.418511
-2.101733,0.403068
-2.049183,0.426648
-2.067318,0.418511
-1.702897,0.582033
-2.049183,0.426648
-1.684762,0.590171
-1.702897,0.582033
-1.650347,0.605613
-1.684762,0.590171
-1.646193,0.607477
-1.650347,0.605613
-1.573369,0.640155
-1.646193,0.607477
-1.507707,0.669619
-1.573369,0.640155
-1.504077,0.671247
-1.507707,0.669619
-1.474689,0.684434
-1.504077,0.671247
-1.459806,0.691113
-1.474689,0.684434
-1.030663,0.883677
-1.459806,0.691113
-1.015780,0.890355
-1.030663,0.883677
-0.986392,0.903542
-1.015780,0.890355
-0.982762,0.905171
-0.986392,0.903542
-0.935979,0.926163
-0.982762,0.905171
-0.891282,0.946220
-0.935979,0.926163
-0.887843,0.947763
-0.891282,0.946220
-0.860203,0.960165
-0.887843,0.947763
-0.846369,0.966373
-0.860203,0.960165
-0.382488,1.174525
-0.846369,0.966373
-0.368654,1.180732
-0.382488,1.174525
-0.341015,1.193135
-0.368654,1.180732
-0.337576,1.194678
-0.341015,1.193135
-0.298589,1.212172
-0.337576,1.194678
-0.259479,1.229721
-0.298589,1.212172
-0.256028,1.231270
-0.259479,1.229721
-0.228274,1.243723
-0.256028,1.231270
-0.214373,1.249961
-0.228274,1.243723
0.247127,1.457044
-0.214373,1.249961
0.261028,1.463282
0.247127,1.457044
0.288782,1.475735
0.261028,1.463282
0.292233,1.477284
0.288782,1.475735
0.338801,1.498180
0.292233,1.477284
0.387878,1.520202
0.338801,1.498180
0.391553,1.521851
0.387878,1.520202
0.421358,1.535225
0.391553,1.521851
0.436498,1.542018
0.421358,1.535225
0.857868,1.731094
0.436498,1.542018
0.873007,1.737888
0.857868,1.731094
0.902813,1.751262
0.873007,1.737888
0.906488,1.752911
0.902813,1.751262
0.976191,1.784188
0.906488,1.752911
1.054214,1.819199
0.976191,1.784188
1.058483,1.821114
1.054214,1.819199
1.094052,1.837075
1.058483,1.821114
1.112992,1.845573
1.094052,1.837075
1.442985,1.993647
1.112992,1.845573
1.461925,2.002146
1.442985,1.993647
1.497494,2.018106
1.461925,2.002146
1.501763,2.020022
1.497494,2.018106
1.590510,2.059844
1.501763,2.020022
1.646571,2.085000
1.590510,2.059844
1.885769,2.192332
1.646571,2.085000
2.021375,2.253181
1.885769,2.192332
2.132069,2.302851
2.021375,2.253181
2.421000,2.432500
2.132069,2.302851
2.673627,2.545858
2.421000,2.432500
-2.711342,0.667988
-2.776367,0.638809
-2.707719,0.669613
-2.711342,0.667988
-2.678395,0.682772
-2.707719,0.669613
-2.663550,0.689433
-2.678395,0.682772
-2.233204,0.882537
-2.663550,0.689433
-2.218359,0.889198
-2.233204,0.882537
-2.189035,0.902356
-2.218359,0.889198
-2.185412,0.903982
-2.189035,0.902356
-2.138978,0.924818
-2.185412,0.903982
-2.094563,0.944747
-2.138978,0.924818
-2.091126,0.946290
-2.094563,0.944747
-2.063502,0.958685
-2.091126,0.946290
-2.049678,0.964888
-2.063502,0.958685
-1.585465,1.173189
-2.049678,0.964888
-1.571640,1.179392
-1.585465,1.173189
-1.544017,1.191787
-1.571640,1.179392
-1.540579,1.193330
-1.544017,1.191787
-1.501588,1.210826
-1.540579,1.193330
-1.462432,1.228396
-1.501588,1.210826
-1.458978,1.229946
-1.462432,1.228396
-1.431202,1.242409
-1.458978,1.229946
-1.417288,1.248653
-1.431202,1.242409
-0.956243,1.455532
-1.417288,1.248653
-0.942329,1.461776
-0.956243,1.455532
-0.914553,1.474239
-0.942329,1.461776
-0.911099,1.475789
-0.914553,1.474239
-0.864198,1.496834
-0.911099,1.475789
-0.814712,1.519040
-0.864198,1.496834
-0.811029,1.520692
-0.814712,1.519040
-0.781149,1.534100
-0.811029,1.520692
-0.765963,1.540914
-0.781149,1.534100
-0.345956,1.729379
-0.765963,1.540914
-0.330771,1.736193
-0.345956,1.729379
-0.300891,1.749600
-0.330771,1.736193
-0.297208,1.751253
-0.300891,1.749600
-0.226808,1.782843
-0.297208,1.751253
-0.147879,1.818259
-0.226808,1.782843
-0.143590,1.820184
-0.147879,1.818259
-0.107812,1.836238
-0.143590,1.820184
-0.088725,1.844803
-0.107812,1.836238
0.238417,1.991597
-0.088725,1.844803
0.257505,2.000162
0.238417,1.991597
0.293282,2.016216
0.257505,2.000162
0.297571,2.018141
0.293282,2.016216
0.385415,2.057558
0.297571,2.018141
0.446571,2.085000
0.385415,2.057558
0.550881,2.131805
0.446571,2.085000
0.557120,2.134605
0.550881,2.131805
0.617836,2.161849
0.557120,2.134605
0.672441,2.186352
0.617836,2.161849
0.738862,2.216156
0.672441,2.186352
0.793468,2.240659
0.738862,2.216156
0.854184,2.267903
0.793468,2.240659
0.860423,2.270703
0.854184,2.267903
0.926973,2.300565
0.860423,2.270703
1.221000,2.432500
0.926973,2.300565
1.360988,2.495315
1.221000,2.432500
1.468532,2.543572
1.360988,2.495315
1.496594,2.556164
1.468532,2.543572
1.995429,2.780000
1.496594,2.556164
2.010091,2.786579
1.995429,2.780000
2.641447,3.069880
2.010091,2.786579
-2.665377,1.227075
